,Unnamed: 0,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total,p
2368,2368,ropi02,915927,Vitana Salátové koření,30.0,"[12, 97, 136]",41,41.0,41.0,54,41,41,1.0
2374,2374,ropi02,916947,Kotányi Salát Tsatsiki,16.0,"[11, 89, 134]",14,15.0,15.0,24,15,15,1.0
2414,2414,ropi02,918456,Bonavita Chia kaše oves s malinami,70.0,"[18, 117, 158]",41,40.0,40.0,42,42,40,0.9523809523809523
2418,2418,ropi02,919299,Kotányi Nové koření mleté,18.0,"[11, 103, 139]",23,23.0,23.0,29,23,23,1.0
2429,2429,ropi02,920883,Vitana Pyramidky koření brambory,20.0,"[27, 108, 148]",44,43.0,43.0,44,44,43,0.9772727272727273
2430,2430,ropi02,920892,Yum Yum Instantní nudlová polévka hovězí,100.0,"[47, 81, 94]",15,18.0,18.0,19,18,18,1.0
2476,2476,ropi02,928407,Knorr Snack Těstoviny Carbonara se sýrovou omáčkou a slaninou,70.0,"[102, 93, 93]",76,75.0,75.0,76,76,75,0.9868421052631579
2477,2477,ropi02,928413,Knorr Snack Bramborová kaše se slaninou a cibulí,80.0,"[101, 93, 94]",52,52.0,52.0,53,53,52,0.9811320754716981
2487,2487,ropi02,929034,Knorr Nudle s rajčatovou polévkou,80.0,"[172, 120, 33]",44,46.0,46.0,47,46,46,1.0
2532,2532,ropi02,937425,Vitana Citronovo-bylinková zálivka tekutá,66.0,"[160, 100, 17]",21,21.0,21.0,22,21,21,1.0
2535,2535,ropi02,938022,Nestlé Yogolino Mléčný dezert s kakaem,432.0,"[127, 127, 62]",20,20.0,20.0,20,20,20,1.0
2563,2563,ropi02,944256,Koření od Antonína Bejby špagety,44.0,"[130, 86, 80]",16,16.0,16.0,27,16,16,1.0
2564,2564,ropi02,944298,Koření od Antonína Italské těstoviny,40.0,"[130, 86, 80]",12,12.0,12.0,19,12,12,1.0
